id,verified,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a3f2a10,True,1.0,0.0,0.0,0.0,0.0
7a1f731e,True,0.0,0.0,0.0,1.0,0.0
7a424ad8,True,0.0,1.0,0.0,0.0,0.0
7a3edc5e,True,0.0,1.0,0.0,0.0,0.0
7a303a6e,True,0.0,1.0,0.0,0.0,0.0
7a1eb2bc,True,0.0,1.0,0.0,0.0,0.0
7a2c2a64,True,0.0,1.0,0.0,0.0,0.0
7a2c92ba,True,0.0,1.0,0.0,0.0,0.0
7a28a24a,True,0.0,0.0,0.0,1.0,0.0
7a38a5b4,True,0.0,0.0,0.0,1.0,0.0
7a349f28,True,0.0,1.0,0.0,0.0,0.0
7a371a32,True,0.0,1.0,0.0,0.0,0.0
7a44a472,True,0.0,1.0,0.0,0.0,0.0
7a2fc05c,True,1.0,0.0,0.0,0.0,0.0
7a41c798,True,1.0,0.0,0.0,0.0,0.0
7a21eea0,True,0.0,0.0,0.0,1.0,0.0
7a31c942,True,0.0,0.0,0.0,1.0,0.0
7a2d66d6,True,0.0,0.0,0.0,1.0,0.0
7a2f33ee,True,0.0,0.0,0.0,1.0,0.0
7a38cd5a,True,0.0,0.0,0.0,1.0,0.0
7a38c0ee,True,0.0,0.0,0.0,1.0,0.0
7a2187f8,True,0.0,0.0,0.0,1.0,0.0
7a3b0aa2,True,0.0,0.0,0.0,1.0,0.0
7a339bdc,True,0.0,0.0,0.0,1.0,0.0
7a303cf8,True,0.0,0.0,0.0,1.0,0.0
7a3a2858,True,0.0,0.0,0.0,1.0,0.0
7a38b1c6,True,0.0,0.0,0.0,1.0,0.0
7a2f5d7e,True,0.0,0.0,0.0,1.0,0.0
7a372928,True,0.0,0.0,0.0,1.0,0.0
7a35666a,True,0.0,0.0,0.0,1.0,0.0
7a21761e,True,0.0,0.0,0.0,1.0,0.0
7a44556c,True,0.0,0.0,0.0,1.0,0.0
7a2618b8,True,0.0,0.0,0.0,1.0,0.0
7a2d7540,True,0.0,0.0,1.0,0.0,0.0
7a329c1e,True,0.0,0.0,1.0,0.0,0.0
7a29168a,True,0.0,0.0,1.0,0.0,0.0
7a203b6e,True,0.0,0.0,1.0,0.0,0.0
7a3ed916,True,0.0,1.0,0.0,0.0,0.0
7a3d5078,True,0.0,1.0,0.0,0.0,0.0
7a1d364e,True,0.0,1.0,0.0,0.0,0.0
7a33a5a0,True,0.0,1.0,0.0,0.0,0.0
7a4106e6,True,0.0,1.0,0.0,0.0,0.0
7a21dda2,True,0.0,1.0,0.0,0.0,0.0
7a310188,True,0.0,1.0,0.0,0.0,0.0
7a343e16,True,0.0,1.0,0.0,0.0,0.0
7a23a4fc,True,0.0,1.0,0.0,0.0,0.0
7a29049c,True,0.0,0.0,1.0,0.0,0.0
7a3fe0f4,True,1.0,0.0,0.0,0.0,0.0
7a36767c,True,0.0,1.0,0.0,0.0,0.0
7a3392ea,True,0.0,0.0,0.0,1.0,0.0
7a2d1596,True,0.0,0.0,0.0,1.0,0.0
7a31e350,True,0.0,0.0,0.0,1.0,0.0
7a2c1038,True,0.0,0.0,0.0,1.0,0.0
7a2e2ed6,True,0.0,0.0,0.0,1.0,0.0
7a34ce8a,True,0.0,0.0,0.0,1.0,0.0
7a3b4490,True,0.0,0.0,0.0,1.0,0.0
7a20c41c,True,0.0,0.0,0.0,1.0,0.0
7a2fe01e,True,0.0,0.0,0.0,1.0,0.0
7a2a4a28,True,0.0,1.0,0.0,0.0,0.0
7a3de1b4,True,0.0,1.0,0.0,0.0,0.0
7a327072,True,0.0,1.0,0.0,0.0,0.0
7a32d2e2,True,0.0,1.0,0.0,0.0,0.0
7a33a1ea,True,1.0,0.0,0.0,0.0,0.0
7a3ec0b6,True,0.0,1.0,0.0,0.0,0.0
7a42454c,True,1.0,0.0,0.0,0.0,0.0
7a350990,True,0.0,0.0,0.0,1.0,0.0
7a41d670,True,0.0,0.0,0.0,1.0,0.0
7a25b2ce,True,0.0,0.0,0.0,1.0,0.0
7a313bf8,True,0.0,0.0,0.0,1.0,0.0
7a3074a2,True,0.0,0.0,0.0,1.0,0.0
7a208b50,True,0.0,0.0,0.0,1.0,0.0
7a1d6bbe,True,0.0,0.0,0.0,1.0,0.0
7a407a64,True,0.0,0.0,0.0,1.0,0.0
7a41a984,True,0.0,0.0,0.0,1.0,0.0
7a43a108,True,0.0,1.0,0.0,0.0,0.0
7a1e9750,True,1.0,0.0,0.0,0.0,0.0
7a2f2f02,True,1.0,0.0,0.0,0.0,0.0
7a3537c6,True,0.0,1.0,0.0,0.0,0.0
7a2c0188,True,0.0,1.0,0.0,0.0,0.0
7a1ca422,True,0.0,1.0,0.0,0.0,0.0
7a298124,True,0.0,1.0,0.0,0.0,0.0
7a3415f8,True,0.0,1.0,0.0,0.0,0.0
7a2fee24,True,0.0,1.0,0.0,0.0,0.0
7a26797a,True,0.0,1.0,0.0,0.0,0.0
7a26ec7a,True,0.0,1.0,0.0,0.0,0.0
7a442a92,True,0.0,1.0,0.0,0.0,0.0
7a39f860,True,0.0,1.0,0.0,0.0,0.0
7a402726,True,0.0,1.0,0.0,0.0,0.0
7a1e6a96,True,0.0,1.0,0.0,0.0,0.0
7a1f7a12,True,0.0,1.0,0.0,0.0,0.0
7a3b9a3a,True,0.0,1.0,0.0,0.0,0.0
7a372004,True,0.0,1.0,0.0,0.0,0.0
7a2ecddc,True,0.0,1.0,0.0,0.0,0.0
7a2f509a,True,0.0,1.0,0.0,0.0,0.0
7a320e20,True,0.0,0.0,0.0,1.0,0.0
7a1fb86a,True,0.0,0.0,1.0,0.0,0.0
7a2393a4,True,0.0,0.0,0.0,1.0,0.0
7a236a1e,True,0.0,0.0,0.0,1.0,0.0
7a1f3066,True,0.0,0.0,0.0,1.0,0.0
7a2c8ef0,True,0.0,0.0,0.0,1.0,0.0
7a34c930,True,0.0,0.0,0.0,1.0,0.0
7a342f8e,True,0.0,0.0,0.0,1.0,0.0
7a3b0d5e,True,0.0,0.0,0.0,1.0,0.0
7a2408b6,True,0.0,1.0,0.0,0.0,0.0
7a204370,True,0.0,1.0,0.0,0.0,0.0
7a3cd44a,True,0.0,1.0,0.0,0.0,0.0
7a3cbe4c,True,0.0,1.0,0.0,0.0,0.0
7a21aee0,True,0.0,1.0,0.0,0.0,0.0
7a35461c,True,0.0,1.0,0.0,0.0,0.0
7a244e52,True,0.0,1.0,0.0,0.0,0.0
7a1db56a,True,0.0,1.0,0.0,0.0,0.0
7a3bfa66,True,0.0,1.0,0.0,0.0,0.0
7a339074,True,0.0,1.0,0.0,0.0,0.0
7a222ee2,True,0.0,1.0,0.0,0.0,0.0
