id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a4d630a,1.740714e-05,0.9994354,1.282688e-05,0.0003384777,0.0001959264
7a4bbbd6,0.0003320358,0.9716477,1.417828e-05,0.02794461,6.134847e-05
7a4ac744,0.003120623,0.9653932,0.0006025665,0.030236,0.0006475544
7a4881fa,0.0009619202,0.2227675,0.009459987,0.7665321,0.0002785276
7a4aa4a8,0.0002582816,0.9260485,3.825681e-05,0.07353009,0.0001249037
7a514434,0.0001146659,0.9630017,0.0009587941,0.03585172,7.307088e-05
7a485f72,0.008234433,0.974192,0.0002020614,0.01578898,0.001582563
7a4b8d32,9.40083e-05,0.5786197,1.77512e-05,0.4212136,5.502592e-05
7a47eb3c,7.429578e-09,3.270076e-05,1.356174e-05,0.9999537,5.139101e-08
7a4be3ae,7.585028e-05,0.01510491,0.0006268474,0.9841759,1.661218e-05
7a46a330,0.0005382093,0.3352093,0.003606734,0.6603432,0.0003025165
7a481620,0.01607325,0.9187745,0.008185126,0.05603759,0.0009294996
7a49c678,0.03606825,0.2717696,0.01454896,0.6744521,0.003161164
7a4ea044,0.0246792,0.7758585,0.03829319,0.1344908,0.02667828
7a47aa1e,5.752626e-05,0.942371,4.780994e-05,0.05732303,0.0002005677
7a51aa1e,0.0001387143,0.5184386,0.001167545,0.4801797,7.546143e-05
7a498be0,0.01225671,0.4022213,0.01947569,0.5621316,0.003914663
7a4a2848,0.003270694,0.8633961,0.00435573,0.1289321,4.541003e-05
7a4c4cd6,0.02721558,0.9578129,0.003028987,0.01178641,0.0001561115
7a465038,0.07564244,0.6191435,0.02702502,0.2764233,0.001765747
7a4e94aa,0.03057334,0.00200237,0.7034054,0.2639816,3.725394e-05
7a49f62a,0.0002184115,0.004019815,0.002128076,0.9936258,7.956054e-06
7a45b6f0,3.019497e-05,0.9861568,5.699479e-05,0.01360624,0.0001497397
7a50bb90,0.0001008798,0.9954761,5.372659e-05,0.003838361,0.0005309656
7a4d38e4,6.493988e-05,0.9742071,0.0003592894,0.02514709,0.0002215648
