id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a4d630a,1.88323e-05,0.9846947,2.286353e-05,0.01520415,5.951704e-05
7a4bbbd6,0.0003827095,0.9106519,0.0001075521,0.0888055,5.242841e-05
7a4ac744,9.113504e-05,0.8675583,0.0002379615,0.1318683,0.0002442438
7a4881fa,0.0003847316,0.784854,0.005970637,0.20869,0.0001006019
7a4aa4a8,0.0003560254,0.4214342,0.00153549,0.576319,0.0003552504
7a514434,0.0006810366,0.848264,0.002733068,0.1482639,5.791105e-05
7a485f72,0.001020268,0.9877855,6.576342e-05,0.01086383,0.0002648308
7a4b8d32,2.564671e-05,0.9332492,0.0003727873,0.06630801,4.443321e-05
7a47eb3c,1.775264e-06,0.0004913332,0.001135731,0.9983669,4.325584e-06
7a4be3ae,0.001432466,0.02287654,0.001046275,0.9729149,0.001729833
7a46a330,1.644331e-05,0.2581673,0.0007126228,0.7404105,0.0006931667
7a481620,0.01578139,0.7522022,0.002287845,0.228201,0.001527528
7a49c678,0.04447469,0.7721615,0.006606982,0.1760194,0.0007374132
7a4ea044,0.05744497,0.4660557,0.01641676,0.2351442,0.2249383
7a47aa1e,5.439492e-05,0.8785231,0.0002151912,0.1211456,6.170745e-05
7a51aa1e,2.041382e-05,0.4243695,0.000746228,0.5748165,4.740257e-05
7a498be0,0.0002721681,0.5524863,0.002298492,0.4440053,0.0009378066
7a4a2848,0.004450015,0.5925683,0.003395268,0.3990074,0.0005790095
7a4c4cd6,0.01053146,0.1239195,0.01558209,0.8279883,0.02197867
7a465038,0.368869,0.2576717,0.05412173,0.2996162,0.01972134
7a4e94aa,0.00979691,0.0005284086,0.8359771,0.1536096,8.810397e-05
7a49f62a,0.00020888,0.01560035,0.02452509,0.9596424,2.332696e-05
7a45b6f0,0.001228182,0.9412209,0.0003870124,0.05626194,0.000902002
7a50bb90,0.0002340063,0.9974543,1.910933e-06,0.002073558,0.0002360978
7a4d38e4,0.0003557887,0.9598236,7.657637e-05,0.03966391,8.010637e-05
7a48a3a6,0.0001574513,0.1864059,0.001179297,0.8120776,0.0001797279
7a4ebe9e,4.919195e-05,0.006411131,0.0003958314,0.9931355,8.439122e-06
7a48352e,0.0007489268,0.6748897,0.0006068425,0.3236776,7.690029e-05
7a4bfaec,0.0001047118,0.98714,1.742714e-05,0.01260496,0.000132828
