id,concrete_cement,healthy_metal,incomplete,irregular_metal,other
7a4d630a,5.29355e-06,0.9990771,1.142087e-05,0.0008781457,2.805204e-05
7a4bbbd6,0.0007535296,0.9388101,0.0001816762,0.0602143,4.030508e-05
7a4ac744,0.0006082341,0.9277458,0.000201996,0.07139274,5.116126e-05
7a4881fa,6.067755e-05,0.00736943,0.01423349,0.9783279,8.51e-06
7a4aa4a8,0.002133488,0.6979607,0.0007544954,0.2990408,0.0001105527
7a514434,0.003062695,0.724281,0.1026383,0.1686923,0.001325826
7a485f72,2.735036e-05,0.996102,1.895474e-05,0.003839306,1.243136e-05
7a4b8d32,0.0001288496,0.9113337,2.14113e-05,0.08848009,3.592337e-05
7a47eb3c,7.818516e-06,0.002586604,0.0007217567,0.9966832,6.694803e-07
7a4be3ae,0.001980621,0.02453237,0.00763573,0.9641796,0.001671752
7a46a330,0.0008166565,0.6798573,0.006152824,0.3096406,0.003532678
7a481620,0.001712652,0.01065519,0.001942814,0.9856694,1.992798e-05
7a49c678,0.006595796,0.09050975,0.003697637,0.8991379,5.901522e-05
7a4ea044,0.04737659,0.896163,0.03760769,0.002596027,0.0162567
7a47aa1e,0.0001622143,0.9258028,6.944285e-05,0.07391031,5.519744e-05
7a51aa1e,0.0002147133,0.09556509,0.006840372,0.897265,0.0001147813
7a498be0,0.000250631,0.8999281,0.001081308,0.09870615,3.375432e-05
7a4a2848,0.004228484,0.2071673,0.04606587,0.7425048,3.364347e-05
7a4c4cd6,0.09963111,0.3525212,0.06424805,0.4835427,5.697639e-05
7a465038,0.1365714,0.3604937,0.01282292,0.4889957,0.001116182
7a4e94aa,0.03015222,0.001695693,0.4860153,0.482094,4.281158e-05
7a49f62a,0.0002544498,0.008201949,0.009989794,0.9815531,6.671718e-07
7a45b6f0,0.0008309613,0.9934627,0.0006368674,0.004051683,0.001017786
7a50bb90,2.593017e-06,0.9995075,4.010486e-06,0.0004641851,2.157842e-05
7a4d38e4,0.0003085502,0.8895481,0.00125883,0.1086956,0.0001890035
7a48a3a6,2.221161e-06,0.3127288,0.000190279,0.6870595,1.919678e-05
7a4ebe9e,0.009132943,0.05291526,0.0002179072,0.9376076,0.0001263124
7a48352e,0.002250194,0.0679115,0.0009434546,0.9288787,1.6067e-05
7a4bfaec,0.0002848944,0.9845088,0.0001823293,0.01406577,0.0009582332
7a51e060,1.402327e-06,0.9997496,7.307626e-06,0.0002385933,3.125068e-06
7a4c0f5a,0.0002555229,0.9960369,3.627817e-05,0.003656957,1.430158e-05
7a4b9976,0.9507023,0.01764252,0.005614021,0.02593223,0.0001088982
7a4b27d4,0.8371571,0.05389268,0.09675908,0.0119985,0.0001926046
7a51c698,0.9912197,0.004804312,0.003718573,0.0001023562,0.0001550743
7a474bb4,0.02639839,0.7828557,0.04695085,0.1410476,0.002747322
7a480054,0.03629098,0.014123,0.1195612,0.8294264,0.0005984092
7a4a4044,9.514541e-06,0.8312455,6.550918e-05,0.1686724,7.084889e-06
7a4c35ca,7.810506e-06,0.9891725,1.019859e-05,0.01080494,4.530201e-06
7a4d3fd8,6.301851e-07,0.9995004,4.596041e-07,0.0004504746,4.801228e-05
7a4c1a68,7.726889e-05,0.999178,1.612627e-05,0.0004684623,0.0002601337
7a4eb1c4,1.5311e-05,0.999921,2.971983e-06,5.623712e-05,4.434885e-06
7a4a51ce,3.948601e-06,0.9997663,8.76083e-08,0.0002219794,7.591786e-06
7a4a14fc,0.0007787723,0.9723563,8.55113e-05,0.02635259,0.0004268529
7a5015d2,1.595567e-06,0.9997795,1.854564e-06,0.0002133184,3.723821e-06
7a4ba95c,1.049667e-05,0.9995455,7.271559e-06,0.000419538,1.711058e-05
7a5101ae,2.026828e-07,0.9986689,1.522449e-07,0.001309247,2.16049e-05
7a4d0a22,7.035687e-05,0.9834226,5.020829e-05,0.01644001,1.672114e-05
7a5134ee,1.380494e-05,0.9978282,1.944536e-05,0.002108415,3.010694e-05
7a4a85c2,0.007868191,0.9909344,3.988715e-06,0.001188448,4.829582e-06
7a514b14,0.003929286,0.105324,0.05889094,0.8317748,8.112082e-05
7a4d0a90,0.03205127,0.3257058,0.03343825,0.6086664,0.0001383955
7a485fd6,0.01113007,0.07483132,0.006129804,0.9011475,0.006761391
7a4f668c,1.335027e-05,0.9864871,8.664761e-06,0.01329056,0.0002003521
7a44e752,0.0001291697,0.02650018,0.004299514,0.9690493,2.182635e-05
7a5162d4,0.0004315006,0.01012326,0.002314857,0.98676,0.0003704177
7a465894,0.0001101678,0.8540094,4.430018e-05,0.1455723,0.0002639024
7a4c9a10,0.0002449643,0.9995964,3.375272e-06,0.0001470915,8.225431e-06
7a485810,3.013762e-08,0.9998018,1.282785e-07,0.0001953785,2.736105e-06
7a4a9788,4.278037e-07,0.9999886,2.550978e-07,7.943341e-06,2.714789e-06
7a503198,1.50934e-06,0.9999516,7.811629e-06,2.68551e-05,1.225981e-05
7a4e206a,0.003119346,0.9815832,0.0003393663,0.01467603,0.00028206
7a4c15ea,0.1684436,0.7957453,0.01298946,0.01925467,0.00356701
7a4f8536,0.00341432,0.05174809,0.0004411829,0.9441906,0.0002057889
7a513df4,0.0001311957,0.0006660766,0.001857473,0.9973357,9.563219e-06
7a4d7624,0.001725234,0.06311975,0.1862682,0.7470583,0.001828586
7a4c9e8e,8.662759e-07,7.069307e-05,0.0008828522,0.9990451,4.458487e-07
7a4b2554,0.0005232251,0.6819597,0.02219914,0.2328998,0.06241817
7a502b12,9.029029e-05,0.01005327,0.0002441235,0.989027,0.0005852159
7a4c32e6,0.9449548,0.001858858,0.0351838,0.01788029,0.0001222172
7a4a8a2c,0.9994166,0.0002884911,8.553126e-05,0.0002091765,2.686444e-07
7a467b76,4.09239e-05,0.03124731,0.01199461,0.9566656,5.156946e-05
7a51b554,0.00023572,0.9704192,0.0009179007,0.02839856,2.870217e-05
7a4622e8,2.964597e-05,0.1120057,0.001066476,0.8868025,9.56626e-05
7a4a599e,1.569112e-05,0.9738812,5.535857e-05,0.0259864,6.127769e-05
7a4d17c4,0.007445637,0.5576105,0.04122616,0.3847063,0.009011431
7a4fb740,0.01283631,0.9817121,0.0003988282,0.004964957,8.775989e-05
7a4ceed4,0.0001282292,0.9988294,1.455197e-05,0.0009954824,3.237508e-05
7a45d1a8,3.439816e-05,0.8662414,0.0001474589,0.1335556,2.114693e-05
7a4ef33c,0.002113851,0.2696803,0.005967193,0.7219011,0.0003376663
7a4ec808,0.09772722,0.1631688,0.05418169,0.6740937,0.01082867
7a4eb8d6,0.0002225038,0.8662718,0.0009949193,0.1324584,5.234972e-05
7a4f39d2,0.002936187,0.01250221,0.1023563,0.8821898,1.548205e-05
7a47a140,0.003561588,0.03673779,0.003442734,0.9562409,1.692543e-05
7a4ec79a,0.003802306,0.004363806,0.006774275,0.9850161,4.352281e-05
7a4be75a,0.9616368,0.01114501,0.01212688,0.01472948,0.0003617743
7a515d20,0.001282389,0.4372907,0.001054609,0.5599663,0.0004059499
7a4e6048,0.9348888,0.03908164,0.008431027,0.0174709,0.0001276563
7a4b4ade,0.03162451,0.04510304,0.479581,0.4435791,0.0001123811
7a4e6250,3.130892e-05,0.0002840781,0.001041903,0.9986421,5.726853e-07
7a4848f2,5.808432e-06,0.000585788,9.120659e-05,0.9993165,7.588106e-07
7a4fe30a,0.00577945,0.7238268,0.0145984,0.2554154,0.000379825
7a5098e0,0.9928289,0.005364232,7.440817e-05,0.001729225,3.18603e-06
7a4c4f60,0.3715839,0.02106281,0.6024794,0.004384169,0.0004897536
7a469bb0,0.0006910965,0.01153621,0.0001032305,0.9876661,3.408837e-06
7a50b06e,0.04768072,0.1284538,0.05287312,0.7707599,0.0002324556
